model,level,surface,matches,accuracy,brier,log_loss,avg_prob_winner,avg_pick_prob
blend_60_40,atp_wta,clay,6270,0.607496,0.231117,0.653461,0.532471,0.589191
blend_60_40,atp_wta,grass,1567,0.590938,0.236874,0.666208,0.523401,0.578659
blend_60_40,atp_wta,hard,11810,0.614733,0.230195,0.651452,0.537418,0.601876
blend_60_40,challenger,carpet,49,0.55102,0.252676,0.698476,0.502057,0.556457
blend_60_40,challenger,clay,20508,0.612639,0.230599,0.652976,0.533101,0.592844
blend_60_40,challenger,grass,1037,0.592093,0.239377,0.671442,0.518128,0.568549
blend_60_40,challenger,hard,19058,0.613128,0.231968,0.65589,0.530629,0.588979
blend_60_40,grand_slam,clay,1971,0.662608,0.216634,0.622789,0.549782,0.596163
blend_60_40,grand_slam,grass,1434,0.628312,0.228349,0.647707,0.531385,0.570558
blend_60_40,grand_slam,hard,3346,0.634788,0.219552,0.627687,0.546445,0.592348
blend_60_40,itf,carpet,2265,0.642826,0.220668,0.632177,0.541476,0.584848
blend_60_40,itf,clay,69232,0.652892,0.216036,0.621011,0.554186,0.611464
blend_60_40,itf,grass,1310,0.583969,0.231026,0.653062,0.530896,0.582648
blend_60_40,itf,hard,86422,0.650008,0.21735,0.62383,0.552951,0.611909
blend_60_40,qualifying,clay,376,0.675532,0.226435,0.645356,0.527858,0.551917
blend_60_40,qualifying,grass,73,0.534247,0.246829,0.686806,0.504768,0.531968
blend_60_40,qualifying,hard,262,0.660305,0.225155,0.642597,0.529749,0.55583
blend_70_30,atp_wta,clay,6270,0.605742,0.23071,0.652504,0.533422,0.590336
blend_70_30,atp_wta,grass,1567,0.596682,0.236437,0.665411,0.525681,0.585533
blend_70_30,atp_wta,hard,11810,0.612786,0.230396,0.651877,0.537315,0.601704
blend_70_30,challenger,carpet,49,0.55102,0.254098,0.701398,0.501832,0.56389
blend_70_30,challenger,clay,20508,0.610835,0.231355,0.654603,0.532172,0.59197
blend_70_30,challenger,grass,1037,0.594021,0.239293,0.671274,0.519459,0.573947
blend_70_30,challenger,hard,19058,0.611974,0.232473,0.65699,0.530088,0.588526
blend_70_30,grand_slam,clay,1971,0.660071,0.21709,0.623641,0.549684,0.59549
blend_70_30,grand_slam,grass,1434,0.631102,0.227144,0.64501,0.533907,0.575464
blend_70_30,grand_slam,hard,3346,0.637179,0.219618,0.627796,0.545924,0.589183
blend_70_30,itf,carpet,2265,0.648124,0.218912,0.628193,0.545696,0.593774
blend_70_30,itf,clay,69232,0.654452,0.215449,0.619673,0.555499,0.613689
blend_70_30,itf,grass,1310,0.587786,0.230343,0.651259,0.534225,0.591575
blend_70_30,itf,hard,86422,0.651292,0.216843,0.622678,0.554138,0.613895
blend_70_30,qualifying,clay,376,0.680851,0.231419,0.655665,0.521172,0.540357
blend_70_30,qualifying,grass,73,0.534247,0.247628,0.68842,0.503486,0.526292
blend_70_30,qualifying,hard,262,0.664122,0.230152,0.653017,0.522825,0.543447
blend_80_20,atp_wta,clay,6270,0.601276,0.230983,0.652941,0.534248,0.593403
blend_80_20,atp_wta,grass,1567,0.599872,0.236346,0.665416,0.527891,0.592942
blend_80_20,atp_wta,hard,11810,0.609314,0.23093,0.653002,0.537169,0.602576
blend_80_20,challenger,carpet,49,0.55102,0.255784,0.704889,0.501591,0.571284
blend_80_20,challenger,clay,20508,0.609469,0.232472,0.656963,0.531193,0.592168
blend_80_20,challenger,grass,1037,0.594021,0.239528,0.671778,0.520743,0.580318
blend_80_20,challenger,hard,19058,0.61061,0.233359,0.658864,0.529492,0.58919
blend_80_20,grand_slam,clay,1971,0.651953,0.218182,0.625759,0.549429,0.596108
blend_80_20,grand_slam,grass,1434,0.631102,0.226218,0.642874,0.536345,0.580944
blend_80_20,grand_slam,hard,3346,0.634788,0.220067,0.628655,0.545339,0.587184
blend_80_20,itf,carpet,2265,0.649448,0.217554,0.625011,0.549764,0.602827
blend_80_20,itf,clay,69232,0.655029,0.214982,0.618589,0.556779,0.616108
blend_80_20,itf,grass,1310,0.59542,0.230048,0.650312,0.537379,0.600495
blend_80_20,itf,hard,86422,0.651616,0.216444,0.621755,0.555296,0.616065
blend_80_20,qualifying,clay,376,0.670213,0.236973,0.666977,0.514374,0.529204
blend_80_20,qualifying,grass,73,0.520548,0.248573,0.690318,0.502197,0.521119
blend_80_20,qualifying,hard,262,0.664122,0.235798,0.664569,0.51576,0.531127
level_only,atp_wta,clay,6270,0.598246,0.233441,0.657893,0.53552,0.604508
level_only,atp_wta,grass,1567,0.593491,0.237082,0.667727,0.532083,0.608629
level_only,atp_wta,hard,11810,0.601355,0.232957,0.657335,0.536763,0.607414
level_only,challenger,carpet,49,0.55102,0.259895,0.713542,0.50105,0.586841
level_only,challenger,clay,20508,0.596987,0.235748,0.663874,0.529108,0.595903
level_only,challenger,grass,1037,0.584378,0.240887,0.674748,0.523154,0.594422
level_only,challenger,hard,19058,0.597125,0.236231,0.664921,0.528152,0.593928
level_only,grand_slam,clay,1971,0.622527,0.222136,0.633691,0.548478,0.602512
level_only,grand_slam,grass,1434,0.623431,0.225136,0.640223,0.540959,0.592916
level_only,grand_slam,hard,3346,0.63957,0.222112,0.632628,0.543997,0.588327
level_only,itf,carpet,2265,0.650331,0.215903,0.620934,0.557419,0.62072
level_only,itf,clay,69232,0.656589,0.214387,0.617164,0.559237,0.621429
level_only,itf,grass,1310,0.600763,0.230427,0.65081,0.543173,0.617776
level_only,itf,hard,86422,0.653167,0.215948,0.620583,0.557521,0.620844
level_only,itf,unknown,94,0.776596,0.168585,0.514544,0.629956,0.684781
level_only,qualifying,clay,376,0.765957,0.249759,0.692669,0.500581,0.510992
level_only,qualifying,grass,73,0.780822,0.250901,0.694971,0.499605,0.513022
level_only,qualifying,hard,262,0.801527,0.249008,0.691152,0.501381,0.511033
sample_aware,atp_wta,clay,6270,0.605582,0.231262,0.653616,0.533242,0.591955
sample_aware,atp_wta,grass,1567,0.596043,0.236306,0.665413,0.529706,0.599466
sample_aware,atp_wta,hard,11810,0.610415,0.23127,0.653663,0.536166,0.600577
sample_aware,challenger,carpet,49,0.55102,0.260152,0.714073,0.500738,0.586528
sample_aware,challenger,clay,20508,0.60274,0.233035,0.658076,0.530338,0.5914
sample_aware,challenger,grass,1037,0.587271,0.241392,0.675836,0.521012,0.587995
sample_aware,challenger,hard,19058,0.607514,0.233571,0.659222,0.528826,0.587709
sample_aware,grand_slam,clay,1971,0.663115,0.218902,0.627341,0.547403,0.592865
sample_aware,grand_slam,grass,1434,0.628312,0.226105,0.642476,0.537476,0.585652
sample_aware,grand_slam,hard,3346,0.653317,0.220696,0.630068,0.544613,0.587865
sample_aware,itf,carpet,2265,0.651214,0.215824,0.620705,0.556689,0.618399
sample_aware,itf,clay,69232,0.655766,0.214664,0.617858,0.557336,0.617079
sample_aware,itf,grass,1310,0.59771,0.22931,0.648166,0.542784,0.613975
sample_aware,itf,hard,86422,0.653375,0.216191,0.621161,0.555592,0.616353
sample_aware,qualifying,clay,376,0.683511,0.23088,0.654526,0.522074,0.542369
sample_aware,qualifying,grass,73,0.561644,0.249064,0.691292,0.501746,0.521271
sample_aware,qualifying,hard,262,0.664122,0.230183,0.653012,0.523027,0.544191
surface_only,atp_wta,clay,6270,0.567783,0.246739,0.688196,0.524714,0.615532
surface_only,atp_wta,grass,1567,0.545629,0.24795,0.688929,0.508642,0.561065
surface_only,atp_wta,hard,11810,0.599238,0.235683,0.663372,0.537045,0.620266
surface_only,challenger,carpet,49,0.530612,0.249994,0.693176,0.503207,0.540433
surface_only,challenger,clay,20508,0.602399,0.2332,0.65824,0.537451,0.61532
surface_only,challenger,grass,1037,0.544841,0.246973,0.687018,0.509488,0.56101
surface_only,challenger,hard,19058,0.596652,0.236541,0.665288,0.532694,0.611274
surface_only,grand_slam,clay,1971,0.621512,0.226776,0.64432,0.547336,0.62485
surface_only,grand_slam,grass,1434,0.58159,0.241889,0.676328,0.514891,0.560814
surface_only,grand_slam,hard,3346,0.625822,0.226289,0.642163,0.548163,0.623159
surface_only,itf,carpet,2265,0.58234,0.24084,0.674262,0.513708,0.545622
surface_only,itf,clay,69232,0.635226,0.222222,0.634525,0.545678,0.603723
surface_only,itf,grass,1310,0.568702,0.245547,0.684048,0.507876,0.54215
surface_only,itf,hard,86422,0.634063,0.222792,0.635737,0.54527,0.605109
surface_only,qualifying,clay,376,0.678191,0.207492,0.603151,0.564273,0.619164
surface_only,qualifying,grass,73,0.534247,0.244936,0.682967,0.51223,0.566795
surface_only,qualifying,hard,262,0.671756,0.207183,0.601844,0.566798,0.625722
