source,reason,duplicate_strategy,date,gender,level,surface,tourney_name,round,api_match_id,api_event_key,winner_api_key,winner_api_name,winner_mapping_status,winner_sackmann_key,winner_sackmann_key_original,loser_api_key,loser_api_name,loser_mapping_status,loser_sackmann_key,loser_sackmann_key_original,sackmann_match_id,sackmann_winner_key,sackmann_loser_key
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - 1/16-finals,api_tennis:12132327,12132327,men:api:33897,Arda Azkara,auto_mapped,men:sackmann:207907,men:sackmann:207907,men:api:8972,Mert Alkaya,auto_mapped,men:sackmann:207368,men:sackmann:207368,sackmann:men:2026-3089:362:207907:207368,men:sackmann:207907,men:sackmann:207368
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - 1/16-finals,api_tennis:12132329,12132329,men:api:15921,Mario Gonzalez Fernandez,auto_mapped,men:sackmann:208605,men:sackmann:208605,men:api:2220,Luca Castelnuovo,auto_mapped,men:sackmann:132573,men:sackmann:132573,sackmann:men:2026-3089:360:208605:132573,men:sackmann:208605,men:sackmann:132573
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - 1/16-finals,api_tennis:12132330,12132330,men:api:54138,Semen Pankin,auto_mapped,men:sackmann:208431,men:sackmann:208431,men:api:14347,Luc Koenig,auto_mapped,men:sackmann:209879,men:sackmann:209879,sackmann:men:2026-3089:369:208431:209879,men:sackmann:208431,men:sackmann:209879
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - 1/16-finals,api_tennis:12132331,12132331,men:api:1189,Harold Mayot,auto_mapped,men:sackmann:208004,men:sackmann:208004,men:api:2508,Yusuke Takahashi,auto_mapped,men:sackmann:126208,men:sackmann:126208,sackmann:men:2026-3089:370:208004:126208,men:sackmann:208004,men:sackmann:126208
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - 1/16-finals,api_tennis:12132339,12132339,men:api:9037,Tristan Boyer,auto_mapped,men:sackmann:207729,men:sackmann:207729,men:api:576,Cristian Jianu Filip,auto_mapped,men:sackmann:202262,men:sackmann:202262,sackmann:men:2026-0558:369:207729:202262,men:sackmann:207729,men:sackmann:202262
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - 1/16-finals,api_tennis:12132341,12132341,men:api:10018,Lautaro Midon,auto_mapped,men:sackmann:210510,men:sackmann:210510,men:api:384,Zdenek Kolar,auto_mapped,men:sackmann:144645,men:sackmann:144645,sackmann:men:2026-0558:363:210510:144645,men:sackmann:210510,men:sackmann:144645
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - 1/16-finals,api_tennis:12132346,12132346,men:api:566,Alexander Shevchenko,auto_mapped,men:sackmann:207686,men:sackmann:207686,men:api:1873,Raul Brancaccio,auto_mapped,men:sackmann:134840,men:sackmann:134840,sackmann:men:2026-0558:366:207686:134840,men:sackmann:207686,men:sackmann:134840
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - 1/16-finals,api_tennis:12132347,12132347,men:api:2003,Pedro Boscardin Dias,auto_mapped,men:sackmann:208046,men:sackmann:208046,men:api:1097,Yosuke Watanuki,auto_mapped,men:sackmann:133297,men:sackmann:133297,sackmann:men:2026-0558:368:208046:133297,men:sackmann:208046,men:sackmann:133297
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - 1/16-finals,api_tennis:12132388,12132388,men:api:978,Daniel Merida Aguilar,auto_mapped,men:sackmann:210017,men:sackmann:210017,men:api:38798,Gianluca Cadenasso,auto_mapped,men:sackmann:211533,men:sackmann:211533,sackmann:men:2026-9001:359:210017:211533,men:sackmann:210017,men:sackmann:211533
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - 1/16-finals,api_tennis:12132389,12132389,men:api:1095,Marco Cecchinato,auto_mapped,men:sackmann:106065,men:sackmann:106065,men:api:1238,Ilia Simakin,auto_mapped,men:sackmann:209899,men:sackmann:209899,sackmann:men:2026-9001:369:106065:209899,men:sackmann:106065,men:sackmann:209899
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - 1/16-finals,api_tennis:12132393,12132393,men:api:987,Pablo Llamas Ruiz,auto_mapped,men:sackmann:208010,men:sackmann:208010,men:api:40082,Michele Ribecai,auto_mapped,men:sackmann:212020,men:sackmann:212020,sackmann:men:2026-9001:362:208010:212020,men:sackmann:208010,men:sackmann:212020
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - 1/16-finals,api_tennis:12132394,12132394,men:api:362,Timofey Skatov,auto_mapped,men:sackmann:207608,men:sackmann:207608,men:api:9385,Vilius Gaubas,auto_mapped,men:sackmann:209147,men:sackmann:209147,sackmann:men:2026-9001:367:207608:209147,men:sackmann:207608,men:sackmann:209147
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Semi-finals,api_tennis:12132398,12132398,men:api:57545,Lasse Poertner,auto_mapped,men:sackmann:211322,men:sackmann:211322,men:api:15199,Florian Broska,auto_mapped,men:sackmann:202239,men:sackmann:202239,sackmann:men:2026-0460:341:211322:202239,men:sackmann:211322,men:sackmann:202239
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Semi-finals,api_tennis:12132401,12132401,men:api:1735,Elahi Galan Daniel,auto_mapped,men:sackmann:123755,men:sackmann:123755,men:api:12606,Tim Handel,auto_mapped,men:sackmann:134389,men:sackmann:134389,sackmann:men:2026-0460:348:123755:134389,men:sackmann:123755,men:sackmann:134389
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Semi-finals,api_tennis:12132402,12132402,men:api:2735,Marc Polmans,auto_mapped,men:sackmann:117360,men:sackmann:117360,men:api:7496,Jeremy Schifris,auto_mapped,men:sackmann:208816,men:sackmann:208816,sackmann:men:2026-0460:347:117360:208816,men:sackmann:117360,men:sackmann:208816
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Semi-finals,api_tennis:12132404,12132404,men:api:988,Alex Marti Pujolras,auto_mapped,men:sackmann:207704,men:sackmann:207704,men:api:55061,David Fix,auto_mapped,men:sackmann:210153,men:sackmann:210153,sackmann:men:2026-0460:345:207704:210153,men:sackmann:207704,men:sackmann:210153
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Semi-finals,api_tennis:12132405,12132405,men:api:8896,Mariano Kestelboim,auto_mapped,men:sackmann:126183,men:sackmann:126183,men:api:1077,Sumit Nagal,auto_mapped,men:sackmann:111576,men:sackmann:111576,sackmann:men:2026-0460:346:126183:111576,men:sackmann:126183,men:sackmann:111576
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Semi-finals,api_tennis:12132406,12132406,men:api:379,Dominic Stricker,auto_mapped,men:sackmann:208502,men:sackmann:208502,men:api:751,Adrian Oetzbach,auto_mapped,men:sackmann:144907,men:sackmann:144907,sackmann:men:2026-0460:340:208502:144907,men:sackmann:208502,men:sackmann:144907
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - 1/16-finals,api_tennis:12132411,12132411,men:api:1775,Pedro Martinez,auto_mapped,men:sackmann:124079,men:sackmann:124079,men:api:585,Frederico Ferreira Silva,auto_mapped,men:sackmann:106393,men:sackmann:106393,sackmann:men:2026-0460:359:124079:106393,men:sackmann:124079,men:sackmann:106393
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - 1/16-finals,api_tennis:12132412,12132412,men:api:833,Marko Topo,auto_mapped,men:sackmann:209916,men:sackmann:209916,men:api:370,Lorenzo Giustino,auto_mapped,men:sackmann:105841,men:sackmann:105841,sackmann:men:2026-0460:356:209916:105841,men:sackmann:209916,men:sackmann:105841
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - 1/16-finals,api_tennis:12132413,12132413,men:api:567,Emilio Nava,auto_mapped,men:sackmann:207182,men:sackmann:207182,men:api:1243,Max Houkes,auto_mapped,men:sackmann:208069,men:sackmann:208069,sackmann:men:2026-0460:355:207182:208069,men:sackmann:207182,men:sackmann:208069
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - 1/16-finals,api_tennis:12132414,12132414,men:api:1935,Guy Den Ouden,auto_mapped,men:sackmann:209911,men:sackmann:209911,men:api:415,Pavel Kotov,auto_mapped,men:sackmann:200303,men:sackmann:200303,sackmann:men:2026-0460:357:209911:200303,men:sackmann:209911,men:sackmann:200303
,,date_gender_players,2026-06-01,men,challenger,hard,Tyler,Tyler - Semi-finals,api_tennis:12132424,12132424,men:api:2021,Christian Langmo,auto_mapped,men:sackmann:132052,men:sackmann:132052,men:api:37857,Ryan Colby,auto_mapped,men:sackmann:210242,men:sackmann:210242,sackmann:men:2026-2873:345:132052:210242,men:sackmann:132052,men:sackmann:210242
,,date_gender_players,2026-06-01,men,challenger,hard,Tyler,Tyler - Semi-finals,api_tennis:12132425,12132425,men:api:3716,Ronald Hohmann,auto_mapped,men:sackmann:208039,men:sackmann:208039,men:api:1330,Adria Soriano Barrera,auto_mapped,men:sackmann:202075,men:sackmann:202075,sackmann:men:2026-2873:347:208039:202075,men:sackmann:208039,men:sackmann:202075
,,date_gender_players,2026-06-01,men,challenger,hard,Tyler,Tyler - Semi-finals,api_tennis:12132426,12132426,men:api:10838,Olaf Pieczkowski,auto_mapped,men:sackmann:210142,men:sackmann:210142,men:api:7637,Garrett Johns,auto_mapped,men:sackmann:208143,men:sackmann:208143,sackmann:men:2026-2873:338:210142:208143,men:sackmann:210142,men:sackmann:208143
,,date_gender_players,2026-06-01,men,challenger,hard,Tyler,Tyler - Semi-finals,api_tennis:12132430,12132430,men:api:15277,Daniel Milavsky,auto_mapped,men:sackmann:212251,men:sackmann:212251,men:api:73248,William Manning,auto_mapped,men:sackmann:213152,men:sackmann:213152,sackmann:men:2026-2873:346:212251:213152,men:sackmann:212251,men:sackmann:213152
,,date_gender_players,2026-06-01,men,challenger,hard,Tyler,Tyler - Semi-finals,api_tennis:12132431,12132431,men:api:8886,Karl Poling,auto_mapped,men:sackmann:207202,men:sackmann:207202,men:api:69562,Dylan Hara Friend Jay,auto_mapped,men:sackmann:210221,men:sackmann:210221,sackmann:men:2026-2873:337:207202:210221,men:sackmann:207202,men:sackmann:210221
,,date_gender_players,2026-06-01,men,challenger,hard,Tyler,Tyler - Semi-finals,api_tennis:12132432,12132432,men:api:37912,Braden Shick,auto_mapped,men:sackmann:211711,men:sackmann:211711,men:api:23350,Dan Martin,auto_mapped,men:sackmann:202297,men:sackmann:202297,sackmann:men:2026-2873:348:211711:202297,men:sackmann:211711,men:sackmann:202297
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - Final,api_tennis:12132448,12132448,men:api:565,Nicolas Alvarez Varona,auto_mapped,men:sackmann:200374,men:sackmann:200374,men:api:695,Manuel Mazza,auto_mapped,men:sackmann:207601,men:sackmann:207601,sackmann:men:2026-9001:351:200374:207601,men:sackmann:200374,men:sackmann:207601
,,date_gender_players,2026-06-01,men,challenger,grass,Birmingham,Birmingham - Final,api_tennis:12132452,12132452,men:api:1882,James McCabe,auto_mapped,men:sackmann:210317,men:sackmann:210317,men:api:1317,Martin Damm,auto_mapped,men:sackmann:102093,men:sackmann:102093,sackmann:men:2026-4940:354:210317:102093,men:sackmann:210317,men:sackmann:102093
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - Final,api_tennis:12132453,12132453,men:api:9159,Alexander Donski,auto_mapped,men:sackmann:200574,men:sackmann:200574,men:api:39537,Naoya Honda,auto_mapped,men:sackmann:211897,men:sackmann:211897,sackmann:men:2026-3089:352:200574:211897,men:sackmann:200574,men:sackmann:211897
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - Final,api_tennis:12132454,12132454,men:api:49616,Lorenzo Carboni,auto_mapped,men:sackmann:212077,men:sackmann:212077,men:api:586,Jelle Sels,auto_mapped,men:sackmann:125847,men:sackmann:125847,sackmann:men:2026-9001:352:212077:125847,men:sackmann:212077,men:sackmann:125847
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - Final,api_tennis:12132455,12132455,men:api:38839,Jan Kumstat,auto_mapped,men:sackmann:211618,men:sackmann:211618,men:api:8733,Oleg Prihodko,auto_mapped,men:sackmann:144716,men:sackmann:144716,sackmann:men:2026-0558:350:211618:144716,men:sackmann:211618,men:sackmann:144716
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - Final,api_tennis:12132515,12132515,men:api:5675,Enrico Dalla Valle,auto_mapped,men:sackmann:133872,men:sackmann:133872,men:api:34386,M. Tobon,auto_mapped,men:sackmann:101495,men:sackmann:101495,sackmann:men:2026-9001:349:133872:101495,men:sackmann:133872,men:sackmann:101495
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - Final,api_tennis:12132516,12132516,men:api:1242,Maks Kasnikowski,auto_mapped,men:sackmann:209874,men:sackmann:209874,men:api:10022,Lucio Ratti,auto_mapped,men:sackmann:211636,men:sackmann:211636,sackmann:men:2026-9001:353:209874:211636,men:sackmann:209874,men:sackmann:211636
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - Final,api_tennis:12132517,12132517,men:api:1191,Francesco Forti,auto_mapped,men:sackmann:209506,men:sackmann:209506,men:api:2019,David Jorda Sanchis,auto_mapped,men:sackmann:122554,men:sackmann:122554,sackmann:men:2026-9001:354:209506:122554,men:sackmann:209506,men:sackmann:122554
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - Final,api_tennis:12132519,12132519,men:api:1201,Viktor Durasovic,auto_mapped,men:sackmann:126340,men:sackmann:126340,men:api:582,Daniel Michalski,auto_mapped,men:sackmann:207415,men:sackmann:207415,sackmann:men:2026-0558:354:126340:207415,men:sackmann:126340,men:sackmann:207415
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - Final,api_tennis:12132520,12132520,men:api:817,Milos Karol,auto_mapped,men:sackmann:209984,men:sackmann:209984,men:api:1321,Marek Gengel,auto_mapped,men:sackmann:200309,men:sackmann:200309,sackmann:men:2026-0558:351:209984:200309,men:sackmann:209984,men:sackmann:200309
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - Final,api_tennis:12132521,12132521,men:api:2406,Taro Daniel,auto_mapped,men:sackmann:106121,men:sackmann:106121,men:api:935,Lukas Pokorny,auto_mapped,men:sackmann:209931,men:sackmann:209931,sackmann:men:2026-0558:353:106121:209931,men:sackmann:106121,men:sackmann:209931
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Final,api_tennis:12132522,12132522,men:api:9219,Abedallah Shelbayh,auto_mapped,men:sackmann:209406,men:sackmann:209406,men:api:53339,Raphael Perot,auto_mapped,men:sackmann:212222,men:sackmann:212222,sackmann:men:2026-0460:352:209406:212222,men:sackmann:209406,men:sackmann:212222
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Final,api_tennis:12132523,12132523,men:api:9110,Max Wiskandt,auto_mapped,men:sackmann:208328,men:sackmann:208328,men:api:2106,Georgii Kravchenko,auto_mapped,men:sackmann:206662,men:sackmann:206662,sackmann:men:2026-0460:349:208328:206662,men:sackmann:208328,men:sackmann:206662
,,date_gender_players,2026-06-01,men,challenger,hard,Tyler,Tyler - Final,api_tennis:12132524,12132524,men:api:10276,Masamichi Imamura,auto_mapped,men:sackmann:201987,men:sackmann:201987,men:api:38778,Hayato Matsuoka,auto_mapped,men:sackmann:211627,men:sackmann:211627,sackmann:men:2026-2873:352:201987:211627,men:sackmann:201987,men:sackmann:211627
,,date_gender_players,2026-06-01,women,challenger,grass,Birmingham,Birmingham - 1/16-finals,api_tennis:12132530,12132530,women:api:198,Elvina Kalieva,auto_mapped,women:sackmann:220722,women:sackmann:220722,women:api:3326,Talia Gibson,auto_mapped,women:sackmann:221883,women:sackmann:221883,sackmann:women:2026-1126:274:220722:221883,women:sackmann:220722,women:sackmann:221883
,,date_gender_players,2026-06-01,men,challenger,grass,Birmingham,Birmingham - Final,api_tennis:12132534,12132534,men:api:1082,Elias Ymer,auto_mapped,men:sackmann:111200,men:sackmann:111200,men:api:38208,Hamish Stewart,auto_mapped,men:sackmann:207171,men:sackmann:207171,sackmann:men:2026-4940:351:111200:207171,men:sackmann:111200,men:sackmann:207171
,,date_gender_players,2026-06-01,men,challenger,grass,Birmingham,Birmingham - Final,api_tennis:12132535,12132535,men:api:39002,Filippo Romano,auto_mapped,men:sackmann:211542,men:sackmann:211542,men:api:768,Ben Jones,auto_mapped,men:sackmann:202346,men:sackmann:202346,sackmann:men:2026-4940:349:211542:202346,men:sackmann:211542,men:sackmann:202346
,,date_gender_players,2026-06-01,men,challenger,grass,Birmingham,Birmingham - Final,api_tennis:12132536,12132536,men:api:590,Zhizhen Zhang,auto_mapped,men:sackmann:111190,men:sackmann:111190,men:api:1746,Marc-Andrea Huesler,auto_mapped,men:sackmann:144817,men:sackmann:144817,sackmann:men:2026-4940:350:111190:144817,men:sackmann:111190,men:sackmann:144817
,,date_gender_players,2026-06-01,men,challenger,grass,Birmingham,Birmingham - Final,api_tennis:12132537,12132537,men:api:40233,James Watt,auto_mapped,men:sackmann:211767,men:sackmann:211767,men:api:19536,August Holmgren,auto_mapped,men:sackmann:200416,men:sackmann:200416,sackmann:men:2026-4940:353:211767:200416,men:sackmann:211767,men:sackmann:200416
,,date_gender_players,2026-06-01,men,challenger,grass,Birmingham,Birmingham - Final,api_tennis:12132538,12132538,men:api:7102,Clement Chidekh,auto_mapped,men:sackmann:206889,men:sackmann:206889,men:api:745,Charles Broom,auto_mapped,men:sackmann:200277,men:sackmann:200277,sackmann:men:2026-4940:352:206889:200277,men:sackmann:206889,men:sackmann:200277
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - Final,api_tennis:12132539,12132539,men:api:14315,Tuncay Duran,auto_mapped,men:sackmann:210513,men:sackmann:210513,men:api:38111,Kris van Wyk,auto_mapped,men:sackmann:144748,men:sackmann:144748,sackmann:men:2026-3089:353:210513:144748,men:sackmann:210513,men:sackmann:144748
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - Final,api_tennis:12132540,12132540,men:api:642,Alec Beckley,auto_mapped,men:sackmann:209278,men:sackmann:209278,men:api:63094,Thando Longwe-Smit,auto_mapped,men:sackmann:207927,men:sackmann:207927,sackmann:men:2026-3089:354:209278:207927,men:sackmann:209278,men:sackmann:207927
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - Final,api_tennis:12132541,12132541,men:api:770,Oscar Weightman,auto_mapped,men:sackmann:208267,men:sackmann:208267,men:api:40189,Keshav Chopra,auto_mapped,men:sackmann:208844,men:sackmann:208844,sackmann:men:2026-3089:350:208267:208844,men:sackmann:208267,men:sackmann:208844
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - Final,api_tennis:12132542,12132542,men:api:629,Orel Kimhi,auto_mapped,men:sackmann:210039,men:sackmann:210039,men:api:69706,Marc Van Der Merwe,auto_mapped,men:sackmann:213010,men:sackmann:213010,sackmann:men:2026-3089:349:210039:213010,men:sackmann:210039,men:sackmann:213010
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - Final,api_tennis:12132543,12132543,men:api:38125,Guillaume Dalmasso,auto_mapped,men:sackmann:211409,men:sackmann:211409,men:api:10866,Peter Buldorini,auto_mapped,men:sackmann:210683,men:sackmann:210683,sackmann:men:2026-3089:351:211409:210683,men:sackmann:211409,men:sackmann:210683
,,date_gender_players,2026-06-01,women,challenger,grass,Birmingham,Birmingham - 1/16-finals,api_tennis:12132544,12132544,women:api:12716,Mananchaya Sawangkaew,auto_mapped,women:sackmann:216566,women:sackmann:216566,women:api:8978,Linda Klimovicova,auto_mapped,women:sackmann:221626,women:sackmann:221626,sackmann:women:2026-1126:283:216566:221626,women:sackmann:216566,women:sackmann:221626
,,date_gender_players,2026-06-01,women,challenger,clay,Foggia (Italy),Foggia - 1/16-finals,api_tennis:12132547,12132547,women:api:1426,Tatiana Pieri,auto_mapped,women:sackmann:214301,women:sackmann:214301,women:api:4019,Victoria Bosio,auto_mapped,women:sackmann:206345,women:sackmann:206345,sackmann:women:2026-2077:275:214301:206345,women:sackmann:214301,women:sackmann:206345
,,date_gender_players,2026-06-01,women,challenger,clay,Foggia (Italy),Foggia - 1/16-finals,api_tennis:12132548,12132548,women:api:230,Lisa Pigato,auto_mapped,women:sackmann:221354,women:sackmann:221354,women:api:58227,Elizara Yaneva,auto_mapped,women:sackmann:260664,women:sackmann:260664,sackmann:women:2026-2077:270:221354:260664,women:sackmann:221354,women:sackmann:260664
,,date_gender_players,2026-06-01,women,challenger,clay,Foggia (Italy),Foggia - 1/16-finals,api_tennis:12132549,12132549,women:api:1435,Darya Astakhova,auto_mapped,women:sackmann:221178,women:sackmann:221178,women:api:7289,Xinyu Gao,auto_mapped,women:sackmann:214386,women:sackmann:214386,sackmann:women:2026-2077:271:221178:214386,women:sackmann:221178,women:sackmann:214386
,,date_gender_players,2026-06-01,women,challenger,clay,Foggia (Italy),Foggia - 1/16-finals,api_tennis:12132550,12132550,women:api:9248,Sofia Costoulas,auto_mapped,women:sackmann:223321,women:sackmann:223321,women:api:226,Sapfo Sakellaridi,auto_mapped,women:sackmann:220364,women:sackmann:220364,sackmann:women:2026-2077:274:223321:220364,women:sackmann:223321,women:sackmann:220364
,,date_gender_players,2026-06-01,women,challenger,clay,Foggia (Italy),Foggia - 1/16-finals,api_tennis:12132551,12132551,women:api:2765,Varvara Lepchenko,auto_mapped,women:sackmann:201478,women:sackmann:201478,women:api:223,Iryna Shymanovich,auto_mapped,women:sackmann:213576,women:sackmann:213576,sackmann:women:2026-2077:277:201478:213576,women:sackmann:201478,women:sackmann:213576
,,date_gender_players,2026-06-01,men,itf,clay,M25 Caltanissetta (Italy),M25 Caltanissetta - 1/16-finals,api_tennis:12132590,12132590,men:api:57566,Rafael Izquierdo Luque,auto_mapped,men:sackmann:202258,men:sackmann:202258,men:api:71812,Lorenzo Beraldo,auto_mapped,men:sackmann:211516,men:sackmann:211516,sackmann:men:2026-M-ITF-ITA-2026-023:114:202258:211516,men:sackmann:202258,men:sackmann:211516
,,date_gender_players,2026-06-01,men,itf,clay,M25 Caltanissetta (Italy),M25 Caltanissetta - 1/16-finals,api_tennis:12132591,12132591,men:api:78741,Sebastiano Cocola,auto_mapped,men:sackmann:213717,men:sackmann:213717,men:api:69524,Conor Gannon,auto_mapped,men:sackmann:149843,men:sackmann:149843,sackmann:men:2026-M-ITF-ITA-2026-023:111:213717:149843,men:sackmann:213717,men:sackmann:149843
,,date_gender_players,2026-06-01,men,challenger,hard,Tyler,Tyler - Final,api_tennis:12132606,12132606,men:api:6696,Andrew Fenty,auto_mapped,men:sackmann:208649,men:sackmann:208649,men:api:662,Bruno Kuzuhara,auto_mapped,men:sackmann:210044,men:sackmann:210044,sackmann:men:2026-2873:350:208649:210044,men:sackmann:208649,men:sackmann:210044
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Final,api_tennis:12132610,12132610,men:api:7349,Marvin Moeller,auto_mapped,men:sackmann:202359,men:sackmann:202359,men:api:379,Dominic Stricker,auto_mapped,men:sackmann:208502,men:sackmann:208502,sackmann:men:2026-0460:350:202359:208502,men:sackmann:202359,men:sackmann:208502
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Final,api_tennis:12132611,12132611,men:api:39928,Sander Jong,auto_mapped,men:sackmann:210093,men:sackmann:210093,men:api:57545,Lasse Poertner,auto_mapped,men:sackmann:211322,men:sackmann:211322,sackmann:men:2026-0460:351:210093:211322,men:sackmann:210093,men:sackmann:211322
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Final,api_tennis:12132612,12132612,men:api:1735,Elahi Galan Daniel,auto_mapped,men:sackmann:123755,men:sackmann:123755,men:api:2735,Marc Polmans,auto_mapped,men:sackmann:117360,men:sackmann:117360,sackmann:men:2026-0460:354:123755:117360,men:sackmann:123755,men:sackmann:117360
,,date_gender_players,2026-06-01,men,challenger,clay,Heilbronn,Heilbronn - Final,api_tennis:12132663,12132663,men:api:988,Alex Marti Pujolras,auto_mapped,men:sackmann:207704,men:sackmann:207704,men:api:8896,Mariano Kestelboim,auto_mapped,men:sackmann:126183,men:sackmann:126183,sackmann:men:2026-0460:353:207704:126183,men:sackmann:207704,men:sackmann:126183
,,date_gender_players,2026-06-02,women,challenger,clay,Makarska,Makarska - 1/16-finals,api_tennis:12132761,12132761,women:api:2592,Kajsa Rinaldo Persson,auto_mapped,women:sackmann:211643,women:sackmann:211643,women:api:9118,Leolia Jeanjean,auto_mapped,women:sackmann:206417,women:sackmann:206417,sackmann:women:2026-1090:277:211643:206417,women:sackmann:211643,women:sackmann:206417
,,date_gender_players,2026-06-02,women,challenger,clay,Makarska,Makarska - 1/16-finals,api_tennis:12132762,12132762,women:api:179,Dominika Salkova,auto_mapped,women:sackmann:222966,women:sackmann:222966,women:api:1824,Ana Konjuh,auto_mapped,women:sackmann:211951,women:sackmann:211951,sackmann:women:2026-1090:282:222966:211951,women:sackmann:222966,women:sackmann:211951
,,date_gender_players,2026-06-02,women,challenger,clay,Makarska,Makarska - 1/16-finals,api_tennis:12132763,12132763,women:api:1029,Noma Noha Akugue,auto_mapped,women:sackmann:223333,women:sackmann:223333,women:api:173,Bianca Bulgaru Miriam,auto_mapped,women:sackmann:214480,women:sackmann:214480,sackmann:women:2026-1090:276:223333:214480,women:sackmann:223333,women:sackmann:214480
,,date_gender_players,2026-06-02,women,challenger,clay,Makarska,Makarska - 1/16-finals,api_tennis:12132764,12132764,women:api:493,Simona Waltert,auto_mapped,women:sackmann:215899,women:sackmann:215899,women:api:52707,Teodora Kostovic,auto_mapped,women:sackmann:267439,women:sackmann:267439,sackmann:women:2026-1090:281:215899:267439,women:sackmann:215899,women:sackmann:267439
,,date_gender_players,2026-06-02,women,challenger,clay,Makarska,Makarska - 1/16-finals,api_tennis:12132766,12132766,women:api:2910,Sara Sorribes Tormo,auto_mapped,women:sackmann:204427,women:sackmann:204427,women:api:1137,Victoria Jimenez Kasintseva,auto_mapped,women:sackmann:223286,women:sackmann:223286,sackmann:women:2026-1090:274:204427:223286,women:sackmann:204427,women:sackmann:223286
,,date_gender_players,2026-06-02,women,challenger,clay,Makarska,Makarska - 1/16-finals,api_tennis:12133087,12133087,women:api:1810,Elina Avanesyan,auto_mapped,women:sackmann:220589,women:sackmann:220589,women:api:2803,Tamara Zidansek,auto_mapped,women:sackmann:214461,women:sackmann:214461,sackmann:women:2026-1090:283:220589:214461,women:sackmann:220589,women:sackmann:214461
